categorical_features,encoder,scaler,smote,roc_auc,accuracy,f1,precision,recall
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OrdinalEncoder,MinMaxScaler,0,0.7283352073548172,0.8078229166666666,0.362249473021017,0.6861047548401912,0.24610206816477165
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OrdinalEncoder,MinMaxScaler,1,0.7237381340636999,0.7056145833333334,0.4824125770646024,0.3953978977295692,0.6185422167363981
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OneHotEncoder,MinMaxScaler,0,0.7722488416878427,0.8221458333333335,0.4761921178967478,0.6865793379478514,0.3645032744186847
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OneHotEncoder,MinMaxScaler,1,0.7595487348195059,0.8112708333333334,0.494529619506818,0.6091412700734142,0.41625975705744456
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",WoE,MinMaxScaler,0,0.7660623132948491,0.82,0.4686272148183628,0.6786470282423904,0.35788103131092214
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",WoE,MinMaxScaler,1,0.7653267395533885,0.7771041666666668,0.5336638876429443,0.4978449251620174,0.5750520959069794
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OrdinalEncoder,StandardScaler,0,0.7284237622593003,0.8077708333333333,0.36214298569679226,0.6857022627762357,0.2460551087846355
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OrdinalEncoder,StandardScaler,1,0.7226436727138219,0.705875,0.48192759520779205,0.39545895474236276,0.6168042675025981
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OneHotEncoder,StandardScaler,0,0.7722137233480209,0.82209375,0.47592700574230706,0.6864751581746937,0.3642214740238421
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OneHotEncoder,StandardScaler,1,0.7595747710139575,0.8122083333333332,0.49252917400525015,0.6147325479677734,0.4109058142395884
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",WoE,StandardScaler,0,0.7659803307944475,0.8198958333333334,0.4683207982269746,0.6782023567373349,0.35764620132472213
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",WoE,StandardScaler,1,0.7659666818507611,0.7778333333333333,0.5335191840146583,0.49926251834455204,0.5728447624134387
